Player,Team,Pos,Gls,lambda_final_goals,TopScorer_Prob,LogoFile
Kylian Mbappé,Real Madrid,FW,9,15.113173535379104,0.6408933333333326,Real Madrid.png
Victor Osimhen,Galatasaray,FW,6,10.164178641713841,0.09810666666666674,Galatasaray.png
Erling Haaland,Manchester City,FW,6,10.136430604853873,0.08510666666666672,Manchester City.png
Harry Kane,Bayern Munich,"FW,MF",5,9.047608880689001,0.04657333333333332,Bayern Munich.png
Gabriel Martinelli,Arsenal,FW,5,8.824067899889767,0.04095666666666665,Arsenal.png
Anthony Gordon,Newcastle Utd,FW,5,8.444012459099369,0.03229833333333333,Newcastle Utd.png
Lautaro Martínez,Inter,FW,4,7.348784381687755,0.012936666666666664,Inter.png
Julián Álvarez,Atletico Madrid,FW,4,7.15863071299426,0.011833333333333333,Atletico Madrid.png
Dušan Vlahović,Juventus,FW,3,6.708676219828934,0.006566666666666669,Juventus.png
Noni Madueke,Arsenal,FW,3,6.236227066763776,0.004258333333333334,Arsenal.png
Luis Díaz,Bayern Munich,FW,3,6.094138955373751,0.0032533333333333333,Bayern Munich.png
Serhou Guirassy,Dortmund,FW,3,5.88114892825046,0.0023,Dortmund.png
Lennart Karl,Bayern Munich,MF,3,5.9747177643110945,0.0020733333333333333,Bayern Munich.png
Marcus Rashford,Barcelona,FW,4,5.439807769818306,0.0014366666666666668,Barcelona.png
Viktor Gyökeres,Arsenal,FW,2,5.243605055825947,0.0013166666666666665,Arsenal.png
Igor Paixão,Marseille,"FW,MF",4,5.242429959226087,0.0010583333333333332,Marseille.png
Vitinha,Paris S-G,MF,4,5.064477062640181,0.0009416666666666666,Paris S-G.png
Harvey Barnes,Newcastle Utd,"FW,MF",4,5.265467781857379,0.0007166666666666666,Newcastle Utd.png
Folarin Balogun,Monaco,FW,3,4.66088208413713,0.000575,Monaco.png
Fermin López,Barcelona,"MF,FW",3,4.891778739958651,0.0005366666666666667,Barcelona.png
Estêvão Willian,Chelsea,"FW,MF",3,4.857340146836937,0.0005333333333333334,Chelsea.png
Scott McTominay,Napoli,MF,3,4.42766876168697,0.0005333333333333333,Napoli.png
Francisco Trincão,Sporting CP,MF,3,4.759787521070135,0.0004866666666666666,Sporting CP.png
Pierre-Emerick Aubameyang,Marseille,FW,3,4.594110525511081,0.000475,Marseille.png
Julian Brandt,Dortmund,MF,3,4.605174140944269,0.0004333333333333333,Dortmund.png
Denzel Dumfries,Inter,DF,2,4.158577656365308,0.00042,Inter.png
Dominik Szoboszlai,Liverpool,"MF,DF",3,4.928891091394751,0.00035833333333333333,Liverpool.png
Mason Greenwood,Marseille,"FW,MF",3,4.825780461917074,0.000325,Marseille.png
Ricardo Pepi,PSV Eindhoven,FW,3,3.4597261882906967,0.000225,PSV Eindhoven.png
Rasmus Højlund,Napoli,FW,2,3.55020421117783,0.000225,Napoli.png
Marcos Llorente,Atletico Madrid,"DF,MF",3,4.466816616089639,0.0002,Atletico Madrid.png
Álex Grimaldo,Leverkusen,DF,3,4.26902155190729,0.0002,Leverkusen.png
Karim Adeyemi,Dortmund,MF,2,3.963503409226691,0.00018333333333333334,Dortmund.png
Viktor Dadason,FC Copenhagen,FW,2,3.177786402678353,0.000175,FC Copenhagen.png
Bukayo Saka,Arsenal,FW,2,4.194757795542082,0.00011999999999999999,Arsenal.png
Nicolo Tresoldi,Club Brugge,FW,2,2.58495057527348,0.0001,Club Brugge.png
Marcus Thuram,Inter,FW,2,3.5105582447562336,0.0001,Inter.png
Yunus Akgün,Galatasaray,"FW,MF",2,3.2859612583186006,0.0001,Galatasaray.png
Khvicha Kvaratskhelia,Paris S-G,FW,2,3.3754104927071404,0.0001,Paris S-G.png
Mikel Merino,Arsenal,"MF,FW",2,3.4716222819545113,0.0001,Arsenal.png
Cole Palmer,Chelsea,FW,1,3.587239510453656,0.0001,Chelsea.png
Charles De Ketelaere,Atalanta,"FW,MF",2,3.5874869771714453,0.0001,Atalanta.png
Gorka Guruzeta,Athletic Club,FW,3,3.868658302519889,8.333333333333333e-05,Athletic Club.png
Felix Nmecha,Dortmund,MF,3,3.87803265910333,7.5e-05,Dortmund.png
Loïs Openda,Juventus,"FW,MF",1,2.532341477920899,5e-05,Juventus.png
Virgil van Dijk,Liverpool,DF,2,3.575141759931136,5e-05,Liverpool.png
Randal Kolo Muani,Tottenham,FW,2,3.2595280930685586,5e-05,Tottenham.png
Marc Guiu,Chelsea,FW,1,2.9927706368349827,5e-05,Chelsea.png
Ferrán Torres,Barcelona,FW,2,3.316696089492967,5e-05,Barcelona.png
Désiré Doué,Paris S-G,FW,2,2.9956662331555237,5e-05,Paris S-G.png
Phil Foden,Manchester City,MF,2,3.015206393002961,3.333333333333333e-05,Manchester City.png
Nuno Mendes,Paris S-G,DF,2,3.457962987976688,3.333333333333333e-05,Paris S-G.png
Jonathan David,Juventus,"FW,MF",2,4.687471200068633,3.333333333333333e-05,Juventus.png
Francesco Esposito,Inter,FW,1,2.130147416597925,2.5e-05,Inter.png
Patrik Schick,Leverkusen,FW,2,3.6689892612841097,2.5e-05,Leverkusen.png
Ousmane Dembélé,Paris S-G,FW,1,3.4972604861297896,2e-05,Paris S-G.png
Ruben van Bommel,PSV Eindhoven,"MF,FW",1,3.4810686525131875,2e-05,PSV Eindhoven.png
Gelson Martins,Olympiacos,FW,2,2.792310912707159,2e-05,Olympiacos.png
Panagiotis Retsos,Olympiacos,DF,0,0.1597518160812834,0.0,Olympiacos.png
Elif Elmas,Napoli,"MF,FW",0,0.1481312423050694,0.0,Napoli.png
Santiago Hezze,Olympiacos,MF,0,0.12144090614701643,0.0,Olympiacos.png
Costinha,Olympiacos,DF,0,0.1653313244500709,0.0,Olympiacos.png
Mehdi Taremi,Olympiacos,"MF,FW",1,2.5243400935593394,0.0,Olympiacos.png
Giovanni Di Lorenzo,Napoli,DF,0,0.32610460391286394,0.0,Napoli.png
Lorenzo Lucca,Napoli,FW,0,0.04657606734190763,0.0,Napoli.png
Juan Jesus,Napoli,DF,0,0.3535612731125006,0.0,Napoli.png
Noa Lang,Napoli,"MF,FW",0,0.48023020076637113,0.0,Napoli.png
Thilo Kehrer,Monaco,DF,0,0.18826527588870035,0.0,Monaco.png
Mika Biereth,Monaco,FW,0,0.2068996559308986,0.0,Monaco.png
Lorenzo Pirola,Olympiacos,DF,0,0.09114825948090327,0.0,Olympiacos.png
Maghnes Akliouche,Monaco,"MF,FW",0,0.42892428535137556,0.0,Monaco.png
Antonio Vergara,Napoli,MF,0,0.015137513082310119,0.0,Napoli.png
Amir Rrahmani,Napoli,DF,0,0.3106834435655985,0.0,Napoli.png
Miguel Gutiérrez,Napoli,DF,0,0.606255908044232,0.0,Napoli.png
Daniel Podence,Olympiacos,"FW,MF",0,0.14384998502250204,0.0,Olympiacos.png
Billy Gilmour,Napoli,MF,0,0.24990590326627343,0.0,Napoli.png
Kevin De Bruyne,Napoli,"MF,FW",0,0.3190648485422303,0.0,Napoli.png
Andre-Frank Zambo Anguissa,Napoli,MF,0,0.48013522112380014,0.0,Napoli.png
Leonardo Spinazzola,Napoli,DF,0,0.38000899943726213,0.0,Napoli.png
Mathías Olivera,Napoli,DF,0,0.34935598951007446,0.0,Napoli.png
Kostas Tzolakis,Olympiacos,GK,0,0.2358814808455149,0.0,Olympiacos.png
Stanislav Lobotka,Napoli,MF,0,0.43874841531840836,0.0,Napoli.png
Alessandro Buongiorno,Napoli,DF,0,0.18869427570962208,0.0,Napoli.png
Diogo Nascimento,Olympiacos,"MF,FW",0,0.14017733124491263,0.0,Olympiacos.png
Sam Beukema,Napoli,DF,0,0.22107771412440447,0.0,Napoli.png
Jacob Ramsey,Newcastle Utd,MF,0,0.0777015451320929,0.0,Newcastle Utd.png
Malick Thiaw,Newcastle Utd,DF,0,0.22338234553921235,0.0,Newcastle Utd.png
Nick Woltemade,Newcastle Utd,FW,1,1.7695549736089626,0.0,Newcastle Utd.png
Anthony Elanga,Newcastle Utd,FW,0,0.2084134080861218,0.0,Newcastle Utd.png
Dan Burn,Newcastle Utd,DF,1,1.5981380353059196,0.0,Newcastle Utd.png
Joelinton,Newcastle Utd,MF,1,1.8516457715166852,0.0,Newcastle Utd.png
Lewis Miley,Newcastle Utd,"MF,DF",1,1.819590059648688,0.0,Newcastle Utd.png
Jacob Murphy,Newcastle Utd,"FW,DF",0,0.15042435542965235,0.0,Newcastle Utd.png
Nick Pope,Newcastle Utd,GK,0,0.3893748289159406,0.0,Newcastle Utd.png
Roman Yaremchuk,Olympiacos,FW,0,0.05589966774189544,0.0,Olympiacos.png
Sandro Tonali,Newcastle Utd,MF,0,0.3537568916717488,0.0,Newcastle Utd.png
Sven Botman,Newcastle Utd,DF,0,0.3835486543725282,0.0,Newcastle Utd.png
Stavros Pnevmonidis,Olympiacos,MF,0,0.06830344016983084,0.0,Olympiacos.png
Lewis Hall,Newcastle Utd,DF,0,0.12354316467905035,0.0,Newcastle Utd.png
Alexandros Paschalakis,Olympiacos,GK,0,0.8154594387622661,0.0,Olympiacos.png
Bruno Onyemaechi,Olympiacos,DF,0,0.1540726002004403,0.0,Olympiacos.png
Matteo Politano,Napoli,"MF,FW",0,0.28714935068962943,0.0,Napoli.png
Kieran Trippier,Newcastle Utd,DF,0,0.48037050332256775,0.0,Newcastle Utd.png
Lorenzo Scipioni,Olympiacos,MF,0,0.04400077464462952,0.0,Olympiacos.png
Valentino Livramento,Newcastle Utd,DF,0,0.596366211755142,0.0,Newcastle Utd.png
Fabian Schär,Newcastle Utd,DF,0,0.4049807679917508,0.0,Newcastle Utd.png
Joe Willock,Newcastle Utd,MF,0,0.39011619915405965,0.0,Newcastle Utd.png
William Osula,Newcastle Utd,FW,0,0.06041201311756813,0.0,Newcastle Utd.png
Aaron Ramsdale,Newcastle Utd,GK,0,1.0817234099048412,0.0,Newcastle Utd.png
Yoane Wissa,Newcastle Utd,FW,0,0.00587469626880989,0.0,Newcastle Utd.png
Bruno Guimarães,Newcastle Utd,MF,0,0.2639598642791049,0.0,Newcastle Utd.png
Gabriel Strefezza,Olympiacos,FW,0,0.03725651101981766,0.0,Olympiacos.png
Rodinei,Olympiacos,DF,0,0.3040843024862452,0.0,Olympiacos.png
Giulian Biancone,Olympiacos,DF,0,0.07209372744904335,0.0,Olympiacos.png
Vanja Milinković-Savić,Napoli,GK,0,0.24681171761348758,0.0,Napoli.png
David Neres,Napoli,"MF,FW",0,0.13174459036557773,0.0,Napoli.png
Mamadou Coulibaly,Monaco,MF,0,0.21095652239876306,0.0,Monaco.png
Sean Steur,Ajax,MF,0,0.38276124822747876,0.0,Ajax.png
Takumi Minamino,Monaco,MF,1,1.7137661621665632,0.0,Monaco.png
Oscar Bobb,Manchester City,"FW,MF",0,0.25710683906428233,0.0,Manchester City.png
Ibrahima Konaté,Liverpool,DF,1,1.9766940323227908,0.0,Liverpool.png
Hugo Ekitike,Liverpool,FW,1,1.951413540164642,0.0,Liverpool.png
James Trafford,Manchester City,GK,0,1.1105995674466433,0.0,Manchester City.png
Mateo Kovačić,Manchester City,MF,0,0.6169387366060437,0.0,Manchester City.png
Rodri,Manchester City,MF,0,0.518561519149153,0.0,Manchester City.png
Abdukodir Khusanov,Manchester City,DF,0,0.7635521711586748,0.0,Manchester City.png
Rayan Aït-Nouri,Manchester City,DF,0,0.3052005070865121,0.0,Manchester City.png
Rico Lewis,Manchester City,MF,0,0.4053559789971922,0.0,Manchester City.png
Nathan Aké,Manchester City,DF,0,0.3776725590041679,0.0,Manchester City.png
Conor Bradley,Liverpool,DF,0,0.2517198093588833,0.0,Liverpool.png
John Stones,Manchester City,DF,0,0.451082481767174,0.0,Manchester City.png
Matheus Nunes,Manchester City,DF,0,0.6365480513388757,0.0,Manchester City.png
Omar Marmoush,Manchester City,FW,0,0.08420708056691387,0.0,Manchester City.png
Rayan Cherki,Manchester City,"FW,MF",1,1.2760514697294654,0.0,Manchester City.png
Bernardo Silva,Manchester City,MF,1,1.954043087830037,0.0,Manchester City.png
Nico O’Reilly,Manchester City,DF,1,1.9490829050178018,0.0,Manchester City.png
Joško Gvardiol,Manchester City,DF,0,0.2576221315830496,0.0,Manchester City.png
Gianluigi Donnarumma,Manchester City,GK,0,0.40602108444003826,0.0,Manchester City.png
Alexis Mac Allister,Liverpool,MF,1,2.0946200799248853,0.0,Liverpool.png
Cody Gakpo,Liverpool,"FW,MF",1,2.1207486623162737,0.0,Liverpool.png
Sávio,Manchester City,"MF,FW",0,0.28824585533705444,0.0,Manchester City.png
Jeremie Frimpong,Liverpool,"DF,FW",0,0.42267022072269006,0.0,Liverpool.png
Ernest Poku,Leverkusen,"MF,DF",0,0.30519644494657894,0.0,Leverkusen.png
Ibrahim Maza,Leverkusen,MF,0,0.22018177640053566,0.0,Leverkusen.png
Christian Kofane,Leverkusen,FW,1,1.6235097784977768,0.0,Leverkusen.png
Aleix García,Leverkusen,MF,2,2.950916353344788,0.0,Leverkusen.png
Mark Flekken,Leverkusen,GK,0,0.30722277171443774,0.0,Leverkusen.png
Loïc Bade,Leverkusen,DF,0,0.21296436417970022,0.0,Leverkusen.png
Rio Ngumoha,Liverpool,FW,0,0.09846182013471555,0.0,Liverpool.png
Joe Gomez,Liverpool,DF,0,0.47128171621074044,0.0,Liverpool.png
Federico Chiesa,Liverpool,"FW,MF",0,0.4630152980852558,0.0,Liverpool.png
Ryan Gravenberch,Liverpool,MF,0,0.25376831681865897,0.0,Liverpool.png
Alisson,Liverpool,GK,0,0.6990306077631953,0.0,Liverpool.png
Andrew Robertson,Liverpool,DF,1,1.8210259601314163,0.0,Liverpool.png
Giorgi Mamardashvili,Liverpool,GK,0,0.47362182094200794,0.0,Liverpool.png
Milos Kerkez,Liverpool,DF,0,0.2699594780797751,0.0,Liverpool.png
Florian Wirtz,Liverpool,"MF,FW",0,0.6691822188132743,0.0,Liverpool.png
Mohamed Salah,Liverpool,FW,1,3.25743696096069,0.0,Liverpool.png
Curtis Jones,Liverpool,"MF,DF",0,0.21770491686629964,0.0,Liverpool.png
Alexander Isak,Liverpool,FW,0,0.45911210035528666,0.0,Liverpool.png
Rúben Dias,Manchester City,DF,0,0.23567446739642953,0.0,Manchester City.png
Tijjani Reijnders,Manchester City,MF,0,0.5507486976253155,0.0,Manchester City.png
Kassoum Ouattara,Monaco,"DF,FW",0,0.1551350027755961,0.0,Monaco.png
Krépin Diatta,Monaco,DF,0,0.6553627617581561,0.0,Monaco.png
Stanis Idumbo,Monaco,MF,0,0.1423415754856349,0.0,Monaco.png
Aladji Bamba,Monaco,MF,0,0.5690997446850758,0.0,Monaco.png
Denis Zakaria,Monaco,MF,0,1.2956510964087729,0.0,Monaco.png
Christian Mawissa,Monaco,DF,0,0.4993253124464432,0.0,Monaco.png
George Ilenikhena,Monaco,FW,0,0.08380363416532328,0.0,Monaco.png
Lukáš Hrádecký,Monaco,GK,0,0.7874651831051929,0.0,Monaco.png
Christos Mouzakitis,Olympiacos,MF,0,0.07863169648359168,0.0,Olympiacos.png
Eric Dier,Monaco,DF,1,2.511898740589804,0.0,Monaco.png
Pape Cabral,Monaco,MF,0,0.04947915653220293,0.0,Monaco.png
Pierre Højbjerg,Marseille,MF,0,0.30653098909517235,0.0,Marseille.png
Lamine Camara,Monaco,MF,0,0.406146376573697,0.0,Monaco.png
Vanderson,Monaco,DF,0,0.3908449944777077,0.0,Monaco.png
Philipp Köhn,Monaco,GK,0,0.4699893066626323,0.0,Monaco.png
Aleksandr Golovin,Monaco,"FW,MF",0,0.30292592991006506,0.0,Monaco.png
Ansu Fati,Monaco,"MF,FW",1,1.859083158486255,0.0,Monaco.png
Jordan Teze,Monaco,"MF,DF",1,2.0350268995622844,0.0,Monaco.png
Caio Henrique Oliveira Silva,Monaco,DF,0,0.2835546684129931,0.0,Monaco.png
Mohammed Salisu,Monaco,DF,0,0.22727587458724754,0.0,Monaco.png
Lucas Michal,Monaco,FW,0,0.1373914250601216,0.0,Monaco.png
Matt O'Riley,Marseille,MF,0,0.1997710747365542,0.0,Marseille.png
Nicolás González,Manchester City,MF,0,0.20743163356447542,0.0,Manchester City.png
CJ Egan-Riley,Marseille,DF,0,0.3934587583554553,0.0,Marseille.png
Jeremy Doku,Manchester City,"MF,FW",1,1.8072722516722335,0.0,Manchester City.png
Tadjidine Mmadi,Marseille,MF,0,0.005743689014057131,0.0,Marseille.png
Amine Gouiri,Marseille,FW,0,0.07249842816048382,0.0,Marseille.png
Darryl Bakola,Marseille,MF,0,0.7619109380306478,0.0,Marseille.png
Bilal Nadir,Marseille,"MF,FW",0,0.37338222824825273,0.0,Marseille.png
Facundo Medina,Marseille,DF,0,0.8179379558683473,0.0,Marseille.png
Geoffrey Kondogbia,Marseille,MF,0,0.8323656267316966,0.0,Marseille.png
Ulisses Garcia,Marseille,DF,0,0.7763314748596267,0.0,Marseille.png
Robinio Vaz,Marseille,"FW,MF",0,0.018444723854730803,0.0,Marseille.png
Gerónimo Rulli,Marseille,GK,0,0.28657394515933643,0.0,Marseille.png
Angel Gomes,Marseille,"MF,FW",0,0.05955932105396192,0.0,Marseille.png
Leonardo Balerdi,Marseille,DF,0,0.27478441132231624,0.0,Marseille.png
Nayef Aguerd,Marseille,DF,0,0.48541768629893095,0.0,Marseille.png
Timothy Weah,Marseille,"DF,FW",1,1.6471545128214369,0.0,Marseille.png
Arthur Vermeeren,Marseille,MF,0,0.32531397067215817,0.0,Marseille.png
Benjamin Pavard,Marseille,DF,0,0.2604847162694006,0.0,Marseille.png
Emerson Palmieri,Marseille,DF,0,0.3505746698475247,0.0,Marseille.png
Michael Amir Murillo,Marseille,DF,0,0.15985726108460419,0.0,Marseille.png
Francisco Ortega,Olympiacos,DF,0,0.15534738987289765,0.0,Olympiacos.png
Anderson,Pafos FC,FW,0,0.16728339037898662,0.0,Pafos FC.png
Ayoub El Kaabi,Olympiacos,FW,2,3.6127435171743048,0.0,Olympiacos.png
Dani Ceballos,Real Madrid,MF,0,0.5531704239689913,0.0,Real Madrid.png
David Moses,Slavia Prague,"MF,DF",0,0.14621501219454827,0.0,Slavia Prague.png
Muhammed Cham,Slavia Prague,MF,0,0.016413195023151698,0.0,Slavia Prague.png
Vasil Kušej,Slavia Prague,"FW,MF",0,0.11740663002487754,0.0,Slavia Prague.png
David Doudera,Slavia Prague,"DF,FW",0,0.11141528530978052,0.0,Slavia Prague.png
Mojmir Chytil,Slavia Prague,FW,0,0.026091404095678037,0.0,Slavia Prague.png
Tomáš Chorý,Slavia Prague,FW,0,0.15983819817109995,0.0,Slavia Prague.png
