Player,Team,Pos,Gls,lambda_final_goals,TopScorer_Prob,LogoFile
Gerard Martín,Barcelona,DF,0,0.22357927792537796,0.0,Barcelona.png
Koke,Atletico Madrid,MF,0,0.18966584247968876,0.0,Atletico Madrid.png
Nicolás González,Atletico Madrid,"MF,DF",0,0.17687395294079516,0.0,Atletico Madrid.png
Frenkie de Jong,Barcelona,MF,0,0.19925729474078274,0.0,Barcelona.png
Clément Lenglet,Atletico Madrid,DF,0,0.7777661752171219,0.0,Atletico Madrid.png
Unai Simón,Athletic Club,GK,0,0.13127359118132853,0.0,Athletic Club.png
Alejandro Rego,Athletic Club,MF,0,0.10168482970159237,0.0,Athletic Club.png
Mikel Jauregizar,Athletic Club,MF,0,0.06686367737869132,0.0,Athletic Club.png
Juan Musso,Atletico Madrid,GK,0,1.1129559756596923,0.0,Atletico Madrid.png
Carlos Martín,Atletico Madrid,FW,0,0.0060443161881213545,0.0,Atletico Madrid.png
Javi Galán,Atletico Madrid,DF,0,0.9406951229825864,0.0,Atletico Madrid.png
Johnny Cardoso,Atletico Madrid,MF,0,0.7673510147561489,0.0,Atletico Madrid.png
Giacomo Raspadori,Atletico Madrid,"MF,FW",1,2.8038327621785513,0.0,Atletico Madrid.png
Marc Pubill,Atletico Madrid,DF,0,0.4189485027036619,0.0,Atletico Madrid.png
Robin Le Normand,Atletico Madrid,DF,1,1.9226829602779192,0.0,Atletico Madrid.png
José María Giménez,Atletico Madrid,DF,1,2.7097973009063363,0.0,Atletico Madrid.png
Thiago Almada,Atletico Madrid,MF,0,0.07637263730322583,0.0,Atletico Madrid.png
Dávid Hancko,Atletico Madrid,DF,1,2.488421437566708,0.0,Atletico Madrid.png
Alex Baena,Atletico Madrid,MF,0,0.18308051255146557,0.0,Atletico Madrid.png
Alexander Sørloth,Atletico Madrid,FW,1,1.7612923070188038,0.0,Atletico Madrid.png
Matteo Ruggeri,Atletico Madrid,DF,0,0.21676862898536772,0.0,Atletico Madrid.png
Jan Oblak,Atletico Madrid,GK,0,0.407379484468737,0.0,Atletico Madrid.png
Nahuel Molina,Atletico Madrid,DF,0,0.37217118068354554,0.0,Atletico Madrid.png
Jules Koundé,Barcelona,DF,2,3.212641367590236,0.0,Barcelona.png
Eric García,Barcelona,"DF,MF",0,0.20125450635502734,0.0,Barcelona.png
Haitam Aleesami,Bodø/Glimt,DF,1,1.0,0.0,Bodø/Glimt.png
Tomás Araújo,Benfica,DF,0,0.2185159533991303,0.0,Benfica.png
Gianluca Prestianni,Benfica,MF,0,0.04325167467176372,0.0,Benfica.png
Henrique Araújo,Benfica,FW,0,0.016173883407550382,0.0,Benfica.png
Andreas Schjelderup,Benfica,FW,0,0.1317850434981515,0.0,Benfica.png
Dodi Lukebakio,Benfica,"FW,MF",0,0.6640149480755085,0.0,Benfica.png
Franjo Ivanović,Benfica,FW,0,0.07133293500686445,0.0,Benfica.png
António Silva,Benfica,DF,0,0.22102271212949492,0.0,Benfica.png
Samuel Dahl,Benfica,DF,1,1.387210172061866,0.0,Benfica.png
Leandro Barreiro Martins,Benfica,MF,2,2.628234124718671,0.0,Benfica.png
Anatolii Trubin,Benfica,GK,0,0.14951338797166802,0.0,Benfica.png
Manuel Manu,Benfica,MF,0,0.004315737517726753,0.0,Benfica.png
Heorhiy Sudakov,Benfica,"FW,MF",0,0.1990516086112482,0.0,Benfica.png
Richard Ríos,Benfica,MF,1,1.3977334687730534,0.0,Benfica.png
Vangelis Pavlidis,Benfica,FW,1,1.55485330022235,0.0,Benfica.png
Nicolás Otamendi,Benfica,DF,0,0.1418272161804999,0.0,Benfica.png
Amar Dedić,Benfica,DF,0,0.09307263517558546,0.0,Benfica.png
Enzo Barrenechea,Benfica,MF,1,1.4270501351489915,0.0,Benfica.png
Fredrik Aursnes,Benfica,"FW,MF",0,0.1535230961739655,0.0,Benfica.png
Daniel Bassi,Bodø/Glimt,"FW,MF",1,1.0,0.0,Bodø/Glimt.png
Tiago Freitas,Benfica,MF,0,0.004315737517726753,0.0,Benfica.png
José Neto,Benfica,MF,0,0.004315737517726753,0.0,Benfica.png
Pau Cubarsí,Barcelona,DF,0,0.30588023321044494,0.0,Barcelona.png
Leon Goretzka,Bayern Munich,MF,0,0.27113113152760604,0.0,Bayern Munich.png
Wisdom Mike,Bayern Munich,FW,0,0.060656096599670216,0.0,Bayern Munich.png
Hiroki Ito,Bayern Munich,DF,0,0.018512902932405557,0.0,Bayern Munich.png
Alphonso Davies,Bayern Munich,FW,0,1.157056433275347,0.0,Bayern Munich.png
Sacha Boey,Bayern Munich,DF,0,0.7294269507755313,0.0,Bayern Munich.png
Josip Stanišić,Bayern Munich,DF,0,0.29746848652175645,0.0,Bayern Munich.png
Raphaël Guerreiro,Bayern Munich,"DF,MF",1,2.547429239027073,0.0,Bayern Munich.png
Kim Min-jae,Bayern Munich,DF,0,0.2789958392237369,0.0,Bayern Munich.png
Nicolas Jackson,Bayern Munich,FW,2,2.3832418753995737,0.0,Bayern Munich.png
Serge Gnabry,Bayern Munich,"FW,MF",1,2.1202501680116637,0.0,Bayern Munich.png
Rodrigo Rego,Benfica,MF,0,0.004315737517726753,0.0,Benfica.png
Tom Bischof,Bayern Munich,"DF,MF",0,0.061495451154079166,0.0,Bayern Munich.png
Dayot Upamecano,Bayern Munich,DF,0,0.18416860170465535,0.0,Bayern Munich.png
Jonathan Tah,Bayern Munich,DF,1,1.698870838690043,0.0,Bayern Munich.png
Aleksandar Pavlovic,Bayern Munich,MF,0,0.22608945034416056,0.0,Bayern Munich.png
Michael Olise,Bayern Munich,"FW,MF",1,1.8082743986462306,0.0,Bayern Munich.png
Manuel Neuer,Bayern Munich,GK,0,0.32539832771105026,0.0,Bayern Munich.png
Konrad Laimer,Bayern Munich,DF,0,0.2205352303039432,0.0,Bayern Munich.png
Joshua Kimmich,Bayern Munich,MF,0,0.5402200297117326,0.0,Bayern Munich.png
Álex Berenguer,Athletic Club,FW,0,0.1954421966753258,0.0,Athletic Club.png
Iñigo Ruiz de Galarreta,Athletic Club,MF,0,0.1373450646158353,0.0,Athletic Club.png
Unai Gómez,Athletic Club,"FW,MF",0,0.12212560825153866,0.0,Athletic Club.png
Piero Hincapié,Arsenal,DF,0,0.6356639328029763,0.0,Arsenal.png
Oscar Gloukh,Ajax,"FW,MF",2,2.4283431013016163,0.0,Ajax.png
Youri Baas,Ajax,DF,0,0.12459565353253425,0.0,Ajax.png
Marli Salmon,Arsenal,DF,0,0.050168853167192336,0.0,Arsenal.png
Gabriel Jesus,Arsenal,FW,0,0.14903443104228148,0.0,Arsenal.png
Max Dowman,Arsenal,FW,0,0.11017944308010184,0.0,Arsenal.png
Andre Annous,Arsenal,FW,0,0.06240515881772706,0.0,Arsenal.png
Martin Ødegaard,Arsenal,MF,0,0.8670830833272563,0.0,Arsenal.png
Ethan Nwaneri,Arsenal,MF,0,0.24395987977543276,0.0,Arsenal.png
Riccardo Calafiori,Arsenal,DF,0,0.26994384078826095,0.0,Arsenal.png
Davy Klaassen,Ajax,MF,0,0.1372076382832046,0.0,Ajax.png
Leandro Trossard,Arsenal,FW,1,2.307403428978027,0.0,Arsenal.png
William Saliba,Arsenal,DF,0,0.3819672963075099,0.0,Arsenal.png
